Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
bert-jones-signed-indianapolis-blue-football-jersey-beckett,Bert Jones Signed Indianapolis Blue Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Bert Jones and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Bert Jones and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,,Autographed Football Jerseys,"Colts, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12446,0.0,shopify,120,deny,manual,45.00,59.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_32e135a1-69f3-45f1-a2d4-da109ebe142f.jpg?v=1762186050,1,"",false,,,,,,,,oz,,27.00,true,,,draft
shaun-alexander-signed-psalms-inscription-seattle-light-blue-football-jersey-beckett,Shaun Alexander Signed Psalms Inscription Seattle Light Blue Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Shaun Alexander and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Shaun Alexander with Psalms inscription and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"FB, imported, inhouse, jersey, New Arrival, Seahawks, V",false,Title,Default Title,,,,,,,,RSA-12445,907.1989147615625,shopify,60,deny,manual,85.00,109.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_d367d582-6455-41eb-afa9-bc549bb82cf1.jpg?v=1761844102,1,"",false,,,,,,,,oz,,,true,,,draft
rj-harvey-signed-denver-orange-football-jersey-jsa,RJ Harvey Signed Denver Orange Football Jersey (JSA),"<p>This custom stitched football jersey has been personally hand signed by RJ Harvey and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by RJ Harvey and authenticated by JSA</li>
<li>Includes a tamper-proof authentication sticker from JSA</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"Broncos, Current Star, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12444,907.1989147615625,shopify,17,deny,manual,60.00,79.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_48c1968c-f1a5-4697-8bfa-c119533268c9.jpg?v=1761844095,1,"",false,,,,,,,,oz,,,true,,,draft
rj-harvey-signed-denver-navy-football-jersey-jsa,RJ Harvey Signed Denver Navy Football Jersey (JSA),"<p>This custom stitched football jersey has been personally hand signed by RJ Harvey and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by RJ Harvey and authenticated by JSA</li>
<li>Includes a tamper-proof authentication sticker from JSA</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"Broncos, Current Star, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12443,907.1989147615625,shopify,16,deny,manual,60.00,79.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_b69b39cb-fb8b-426a-8887-9775aa06aab0.jpg?v=1761844091,1,"",false,,,,,,,,oz,,,true,,,draft
myles-garrett-signed-cleveland-brown-football-jersey-beckett,Myles Garrett Signed Cleveland Brown Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Myles Garrett and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Myles Garrett and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"Browns, Current Star, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12422,907.1989147615625,shopify,12,deny,manual,165.00,199.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/garrett-browns-brown-autographed-stitched-football-jersey-back.jpg?v=1761951686,1,"",false,,,,,,,,oz,,,true,,,draft
myles-garrett-signed-cleveland-brown-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/garrett-browns-brown-autographed-stitched-football-jersey-signature.jpg?v=1761951688,2,"",,,,,,,,,,,,,,,
myles-garrett-signed-cleveland-brown-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/garrett-browns-brown-autographed-stitched-football-jersey-front.jpg?v=1761951690,3,"",,,,,,,,,,,,,,,
mario-manningham-signed-michigan-navy-football-jersey-jsa,Mario Manningham Signed Michigan Navy Football Jersey (JSA),"<p>This custom stitched football jersey has been personally hand signed by Mario Manningham and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Mario Manningham and authenticated by JSA</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from JSA</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"FB, imported, inhouse, jersey, New Arrival, V, Wolverines",false,Title,Default Title,,,,,,,,RSA-12427,907.1989147615625,shopify,43,deny,manual,43.00,59.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_305036a3-425c-4d58-bce0-2be4a68a75f5.jpg?v=1761844076,1,"",false,,,,,,,,oz,,,true,,,draft
earl-campbell-signed-stats-inscription-houston-light-blue-football-jersey-jsa,Earl Campbell Signed Stats Inscription Houston Light Blue Football Jersey (JSA),"<p>This custom stitched football jersey has been personally hand signed by Earl Campbell and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Earl Campbell with Stats inscription and authenticated by JSA</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from JSA</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"FB, imported, inhouse, jersey, New Arrival, Oilers, V",false,Title,Default Title,,,,,,,,RSA-12426,907.1989147615625,shopify,50,deny,manual,60.00,79.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/coming-soon-grande_941e2305-b890-4189-8b59-10d8303e8c66.jpg?v=1761844027,1,"",false,,,,,,,,oz,,,true,,,draft
david-montgomery-signed-detroit-light-blue-football-jersey-beckett,David Montgomery Signed Detroit Light Blue Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by David Montgomery and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by David Montgomery and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"Current Star, FB, imported, inhouse, jersey, Lions, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12419,907.1989147615625,shopify,11,deny,manual,105.00,149.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/montgomery-lions-light-blue-autographed-stitched-football-jersey-back.jpg?v=1761951680,1,"",false,,,,,,,,oz,,,true,,,draft
david-montgomery-signed-detroit-light-blue-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/montgomery-lions-light-blue-autographed-stitched-football-jersey-signature.jpg?v=1761951682,2,"",,,,,,,,,,,,,,,
david-montgomery-signed-detroit-light-blue-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/montgomery-lions-light-blue-autographed-stitched-football-jersey-front.jpg?v=1761951684,3,"",,,,,,,,,,,,,,,
chuba-hubbard-signed-carolina-teal-football-jersey-beckett,Chuba Hubbard Signed Carolina Blue Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Chuba Hubbard and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Chuba Hubbard and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"Current Star, FB, imported, inhouse, jersey, New Arrival, Panthers, V",false,Title,Default Title,,,,,,,,RSA-12423,907.1989147615625,shopify,8,deny,manual,75.00,99.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/hubbard-panthers-blue-autographed-stitched-football-jersey-back.jpg?v=1761951675,1,"",false,,,,,,,,oz,,,true,,,draft
chuba-hubbard-signed-carolina-teal-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/hubbard-panthers-blue-autographed-stitched-football-jersey-signature.jpg?v=1761951676,2,"",,,,,,,,,,,,,,,
chuba-hubbard-signed-carolina-teal-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/hubbard-panthers-blue-autographed-stitched-football-jersey-front.jpg?v=1761951678,3,"",,,,,,,,,,,,,,,
chuba-hubbard-signed-carolina-black-football-jersey-beckett,Chuba Hubbard Signed Carolina Black Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Chuba Hubbard and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Chuba Hubbard and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"Current Star, FB, imported, inhouse, jersey, New Arrival, Panthers, V",false,Title,Default Title,,,,,,,,RSA-12424,907.1989147615625,shopify,8,deny,manual,75.00,99.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/hubbard-panthers-black-autographed-stitched-football-jersey-back.jpg?v=1761951670,1,"",false,,,,,,,,oz,,,true,,,draft
chuba-hubbard-signed-carolina-black-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/hubbard-panthers-black-autographed-stitched-football-jersey-signature.jpg?v=1761951671,2,"",,,,,,,,,,,,,,,
chuba-hubbard-signed-carolina-black-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/hubbard-panthers-black-autographed-stitched-football-jersey-front.jpg?v=1761951673,3,"",,,,,,,,,,,,,,,
bucky-irving-signed-tampa-bay-red-football-jersey-beckett,Bucky Irving Signed Tampa Bay Red Football Jersey (Beckett),"<p>This custom stitched football jersey has been personally hand signed by Bucky Irving and authenticated by a top 3rd party authentication company. All autographed sports collectibles are limited! Order now to add this timeless piece of football memorabilia to your collection before it’s gone.</p><ul>
<li>Hand signed Football jersey autographed by Bucky Irving and authenticated by Beckett</li>
<li>Includes a <em>Witnessed Protection Program</em> tamper-proof authentication sticker from Beckett</li>
<li>90-day Satisfaction Guarantee: if you are not completely satisfied with your piece of memorabilia, return the item in its original condition and receive a full refund</li>
</ul>",RSA,Arts & Entertainment > Hobbies & Creative Arts > Collectibles > Autographs,Autographed Football Jerseys,"Buccaneers, Current Star, FB, imported, inhouse, jersey, New Arrival, V",false,Title,Default Title,,,,,,,,RSA-12420,907.1989147615625,shopify,33,deny,manual,110.00,149.99,true,true,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/irving-buccaneers-red-autographed-stitched-football-jersey-back.jpg?v=1761951664,1,"",false,,,,,,,,oz,,,true,,,draft
bucky-irving-signed-tampa-bay-red-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/irving-buccaneers-red-autographed-stitched-football-jersey-signature.jpg?v=1761951666,2,"",,,,,,,,,,,,,,,
bucky-irving-signed-tampa-bay-red-football-jersey-beckett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0642/7842/9930/files/irving-buccaneers-red-autographed-stitched-football-jersey-front.jpg?v=1761951668,3,"",,,,,,,,,,,,,,,
